ds,Actual,Forecast
2005-06-02,250.965,244.26713718492041
2005-06-03,249.915,244.28473186652826
2005-06-06,249.365,244.34691086254352
2005-06-07,249.935,244.31973744187965
2005-06-08,250.05,244.35282797848268
2005-06-09,249.915,244.43654869913004
2005-06-10,249.915,244.46513248099254
2005-06-13,249.865,244.55518903972165
2005-06-14,248.91,244.535749803414
2005-06-15,249.045,244.57586577181547
2005-06-16,247.77,244.66593378321406
2005-06-17,247.975,244.70020161492943
2005-06-20,247.845,244.80314277541302
2005-06-21,248.06,244.78640803419628
2005-06-22,247.775,244.82825528478156
2005-06-23,246.935,244.91892659530515
2005-06-24,247.435,244.95248451501354
2005-06-27,248.19,245.0431792751545
2005-06-28,247.66,245.01815262983686
2005-06-29,247.62,245.0491625563318
2005-06-30,247.0,245.12619117774454
2005-07-01,247.245,245.1430571480725
2005-07-04,246.87,245.1633942732436
2005-07-05,247.15,245.10771387587093
2005-07-06,247.37,245.10439328766043
2005-07-07,247.465,245.1434732555933
2005-07-08,247.22,245.11891030144972
2005-07-11,246.91,244.9967360753746
2005-07-12,246.375,244.8888006505255
2005-07-13,246.745,244.83172610261917
2005-07-14,247.01,244.8161993409021
2005-07-15,246.31,244.7368930195132
2005-07-18,246.34,244.45765133239556
2005-07-19,246.25,244.30258795517753
2005-07-20,246.005,244.20245461869345
2005-07-21,245.985,244.14879617320946
2005-07-22,245.44,244.03710751137675
2005-07-25,245.455,243.70251437093927
2005-07-26,246.19,243.54493425032263
2005-07-27,245.075,243.4509799078748
2005-07-28,244.995,243.41244118657713
2005-07-29,244.945,243.3249144957724
2005-08-01,244.97,243.1157904808572
2005-08-02,244.54,243.0164938819709
2005-08-03,244.38,242.98807213972853
2005-08-04,244.175,243.02151192192198
2005-08-05,243.815,243.0114789872846
2005-08-08,243.745,243.05704757706818
2005-08-09,243.95,243.04603781799557
2005-08-10,243.39,243.1054745067492
2005-08-11,243.48,243.22505192404614
2005-08-12,243.755,243.29816653010593
2005-08-15,244.075,243.8897312299374
2005-08-16,243.845,244.0473202133371
2005-08-17,243.83,244.26722033892375
2005-08-18,243.695,244.53848631956797
2005-08-19,243.615,244.75404304063667
2005-08-22,244.855,245.38912752179883
2005-08-23,245.61,245.5423094699802
2005-08-24,245.765,245.7489257541693
2005-08-25,245.695,245.99863602209868
2005-08-26,245.365,246.18512367577267
2005-08-29,245.665,246.69742322409465
2005-08-30,245.005,246.80146891961576
2005-08-31,244.275,246.95682476359755
2005-09-01,243.935,247.15437405808407
2005-09-02,243.7,247.289008737737
2005-09-05,243.905,247.65888489648847
2005-09-06,243.905,247.72315399421348
2005-09-07,244.15,247.84394181296608
2005-09-08,244.685,248.01272837318314
2005-09-09,244.615,248.1248367031229
2005-09-12,244.73,248.4662240589725
2005-09-13,245.695,248.53369292606033
2005-09-14,245.305,248.66343011335698
2005-09-15,244.965,248.846318047197
2005-09-16,246.055,248.9769439392025
2005-09-19,245.89,249.39137788241885
2005-09-20,246.165,249.48564403135973
2005-09-21,246.58,249.64161201416047
2005-09-22,248.5,249.8490879842701
2005-09-23,248.075,250.00162029949342
2005-09-26,247.74,250.45640290465172
2005-09-27,247.54,250.55310109684137
2005-09-28,249.0,250.70504787799572
2005-09-29,248.795,250.90171651778311
2005-09-30,249.555,251.0364927955312
2005-10-03,250.89,251.3973138720337
2005-10-04,250.325,251.45031795745567
2005-10-05,249.635,251.5533800848756
2005-10-06,251.22,251.696783806229
2005-10-07,250.96,251.7748416443157
2005-10-10,250.745,251.9553238111014
2005-10-11,249.555,251.94857928588027
2005-10-12,250.965,251.99398387779416
2005-10-13,252.865,252.08292714018788
2005-10-14,252.84,252.11076446205922
2005-10-17,251.96,252.17500829646656
2005-10-18,252.51,252.14336211444694
2005-10-19,253.42,252.17160318742626
2005-10-20,253.835,252.25136509213758
2005-10-21,253.9,252.27807487347255
2005-10-24,254.03,252.3854039563668
2005-10-25,252.14,252.382175800301
2005-10-26,252.205,252.4447782663503
2005-10-27,251.01,252.56400613386145
2005-10-28,250.75,252.63434978055855
2005-10-31,250.47,252.88723774501662
2005-11-01,250.515,252.93380967264275
2005-11-02,249.715,253.04506024736204
2005-11-03,248.85,253.21076688646963
2005-11-04,249.46,253.32447349161623
2005-11-07,249.4,253.68076627310083
2005-11-08,248.81,253.75085227855692
2005-11-09,251.26,253.87945275324927
2005-11-10,251.39,254.05615317937065
2005-11-11,251.08,254.17445535376604
2005-11-14,250.165,254.5078887578
2005-11-15,250.705,254.55938265260835
2005-11-16,251.325,254.6648134676178
2005-11-17,252.34,254.8144506077802
2005-11-18,253.335,254.9025462695849
2005-11-21,253.865,255.1345702783157
2005-11-22,253.675,255.15139584267
2005-11-23,252.21,255.2230405209559
2005-11-24,251.275,255.3404919345932
2005-11-25,251.96,255.3986497327066
2005-11-28,251.215,255.5594849883324
2005-11-29,253.495,255.55998987219542
2005-11-30,253.41,255.61934333490882
2005-12-01,252.235,255.72855978864828
2005-12-02,251.88,255.78245714425827
2005-12-05,251.82,255.95206470592333
2005-12-06,253.59,255.96149460453034
2005-12-07,253.78,256.03201764881493
2005-12-08,255.875,256.1541275469384
2005-12-09,256.09,256.2220991596099
2005-12-12,253.555,256.4355893860997
2005-12-13,252.525,256.4585016536849
2005-12-14,252.155,256.5411888478412
2005-12-15,252.86,256.6737841664909
2005-12-16,252.27,256.75027258554644
2005-12-19,251.88,256.97577083663424
2005-12-20,250.69,256.9979969387439
2005-12-21,250.78,257.0777619906118
2005-12-22,251.1,257.20537186251
2005-12-23,251.455,257.2750453216559
2005-12-26,250.24,257.4721559609701
2005-12-27,251.07,257.4834307498416
2005-12-28,252.11,257.5521074308738
2005-12-29,252.665,257.6688450415876
2005-12-30,252.46,257.72818999718123
2006-01-02,252.575,257.9002341268463
2006-01-03,251.345,257.90574008284864
2006-01-04,250.155,257.9700882744637
2006-01-05,250.975,258.0839216480006
2006-01-06,250.51,258.1416996847066
2006-01-09,249.87,258.3151975354174
2006-01-10,250.75,258.3223248184931
2006-01-11,249.915,258.3882898925888
2006-01-12,250.2,258.50334576121804
2006-01-13,250.6,258.5615489585791
2006-01-16,249.86,258.7276078967878
2006-01-17,251.085,258.7281730011151
2006-01-18,251.89,258.7850598278336
2006-01-19,251.675,258.88833115658724
2006-01-20,250.665,258.9319313002125
2006-01-23,249.89,259.0374753872949
2006-01-24,249.96,259.01284259672775
2006-01-25,248.85,259.04253048549333
2006-01-26,251.08,259.1170488277996
2006-01-27,251.17,259.1308740261454
2006-01-30,251.88,259.1473526861126
2006-01-31,251.95,259.09551645085276
2006-02-01,251.62,259.1005242369914
2006-02-02,251.06,259.153667984372
2006-02-03,250.665,259.1501903011574
2006-02-06,250.575,259.1462307248442
2006-02-07,250.675,259.10008835022006
2006-02-08,251.285,259.11782974960835
2006-02-09,250.835,259.19105594844035
2006-02-10,251.045,259.21519400458436
2006-02-13,251.55,259.339099411029
2006-02-14,251.73,259.34982171228205
2006-02-15,251.02,259.4308167556146
2006-02-16,251.875,259.5730435703937
2006-02-17,251.85,259.67116299959116
2006-02-20,251.76,260.03762460038524
2006-02-21,252.645,260.1325473987227
2006-02-22,253.85,260.29750165701836
2006-02-23,253.37,260.52224523529486
2006-02-24,252.14,260.700232090071
2006-02-27,252.545,261.27868742919134
2006-02-28,253.185,261.4314302940088
2006-03-01,253.24,261.64616041441826
2006-03-02,254.15,261.91181851878747
2006-03-03,254.445,262.12116654647537
2006-03-06,254.625,262.731579866954
2006-03-07,254.99,262.8734255249429
2006-03-08,258.56,263.06645818729817
2006-03-09,257.57,263.29984191874536
2006-03-10,259.2,263.4667167442525
2006-03-13,263.585,263.8944642632272
2006-03-14,262.545,263.9596364608254
2006-03-15,261.555,264.0696961898292
2006-03-16,259.87,264.2148972353401
2006-03-17,260.635,264.2895343873807
2006-03-20,262.415,264.42836999116196
2006-03-21,264.85,264.39727662125625
2006-03-22,264.81,264.41310679086797
2006-03-23,264.485,264.3852931120743
2006-03-24,263.765,264.2911896030366
2006-03-27,266.145,263.95906441323535
2006-03-28,265.72,263.7854373481538
2006-03-29,266.385,263.66702239854976
2006-03-30,265.6,263.5956733525124
2006-03-31,263.955,263.46709036368367
2006-04-03,262.885,263.0870540987718
2006-04-04,265.76,262.9157142898486
2006-04-05,266.78,262.8082812549592
2006-04-06,268.26,262.75617793027516
2006-04-07,267.82,262.6545728181483
2006-04-10,266.14,262.39527201102595
2006-04-11,264.46,262.2749109698815
2006-04-12,265.475,262.2224356815174
2006-04-13,267.085,262.22839325710174
2006-04-14,267.34,262.18706743498245
2006-04-17,267.05,262.11322105176305
2006-04-18,264.555,262.05346079032654
2006-04-19,266.195,262.05971165463717
2006-04-20,266.0,262.1218503140441
2006-04-21,263.53,262.1335617251031
2006-04-24,262.5,262.195185344188
2006-04-25,264.37,262.17154195648936
2006-04-26,265.525,262.20903497136305
2006-04-27,264.005,262.29746342393025
2006-04-28,263.575,262.33052221519256
2006-05-01,264.635,262.4278578808132
2006-05-02,262.595,262.4074835564367
2006-05-03,260.46,262.4444900674424
2006-05-04,260.24,262.5290902542168
2006-05-05,260.25,262.55543070391525
2006-05-08,258.895,262.6201444137035
2006-05-09,260.755,262.5864126816899
2006-05-10,260.72,262.6096452924153
2006-05-11,261.865,262.680524010687
2006-05-12,266.715,262.6936349684082
2006-05-15,266.235,262.72541919736017
2006-05-16,262.955,262.6839977893894
2006-05-17,266.345,262.70156944199874
2006-05-18,264.595,262.76896329714276
2006-05-19,263.835,262.7808561726463
2006-05-22,264.7,262.8226750506284
2006-05-23,263.89,262.78893936807617
2006-05-24,262.95,262.81614578596583
2006-05-25,261.18,262.8949360693754
2006-05-26,260.675,262.9197722624711
2006-05-29,261.03,263.0072910265938
2006-05-30,261.66,262.9902366237576
2006-05-31,263.07,263.03443221469655
2006-06-01,262.2,263.1302860632963
2006-06-02,262.98,263.17204510599316
2006-06-05,264.15,263.3076971558252
2006-06-06,263.48,263.3053503105182
2006-06-07,261.97,263.3634291728888
2006-06-08,264.12,263.4722918216536
2006-06-09,264.685,263.5261613689095
2006-06-12,268.485,263.69283986710735
2006-06-13,269.625,263.6991710523405
2006-06-14,270.505,263.7651673841954
2006-06-15,272.625,263.8812292891469
2006-06-16,273.705,263.94161356031833
2006-06-19,276.66,264.12381985645885
2006-06-20,276.8,264.1339031857234
2006-06-21,277.235,264.2028268688685
2006-06-22,277.89,264.3208766345337
2006-06-23,280.78,264.38216241553044
2006-06-26,280.285,264.55863891293654
2006-06-27,278.97,264.56323763275606
2006-06-28,280.82,264.6244641943577
2006-06-29,282.71,264.7323377719002
2006-06-30,283.24,264.78070586660783
2006-07-03,280.515,264.8996199650707
2006-07-04,279.165,264.8781332261358
2006-07-05,282.03,264.90962569801206
2006-07-06,280.305,264.9840854195558
2006-07-07,281.695,264.99539966264314
2006-07-10,279.805,264.98290646595063
2006-07-11,276.665,264.91182767487436
2006-07-12,277.67,264.8915318216479
2006-07-13,282.525,264.9125546651511
2006-07-14,281.7,264.8694108090928
2006-07-17,280.005,264.6947119467794
2006-07-18,279.29,264.5726497736532
2006-07-19,276.69,264.5043451504267
2006-07-20,274.88,264.4812104961458
2006-07-21,277.67,264.39862438251373
2006-07-24,273.4,264.14195266628155
2006-07-25,272.555,264.00705061602366
2006-07-26,272.34,263.93410948253165
2006-07-27,271.505,263.9149515175276
2006-07-28,272.23,263.84523467588485
2006-07-31,272.16,263.68115668241427
2006-08-01,274.4,263.5945609693123
2006-08-02,272.4,263.57798173413806
2006-08-03,272.555,263.6226141262648
2006-08-04,270.66,263.62334681860415
2006-08-07,269.645,263.7010071760382
2006-08-08,269.995,263.7014224857643
2006-08-09,269.285,263.77303498545683
2006-08-10,270.235,263.9057544115748
2006-08-11,270.2,263.9931752739311
2006-08-14,273.43,264.3099682761266
2006-08-15,274.495,264.3792474869122
2006-08-16,273.645,264.5126035452554
2006-08-17,274.505,264.6991158676427
2006-08-18,278.245,264.83169936070334
2006-08-21,278.465,265.22793789750665
2006-08-22,276.585,265.3045005793807
2006-08-23,278.04,265.43574394952975
2006-08-24,279.045,265.6111412525713
2006-08-25,278.345,265.72417161739514
2006-08-28,276.655,266.0190227935936
2006-08-29,275.78,266.0508030143177
2006-08-30,274.91,266.1336314834188
2006-08-31,276.48,266.2581846989558
2006-09-01,277.975,266.31916485654517
2006-09-04,276.715,266.4625717399347
2006-09-05,275.905,266.44913512003626
2006-09-06,276.85,266.4909963324361
2006-09-07,275.25,266.57961721861636
2006-09-08,275.5,266.6103362528195
2006-09-11,275.41,266.7008532373284
2006-09-12,273.495,266.68282538973216
2006-09-13,273.075,266.72637338247876
2006-09-14,273.49,266.82255648081957
2006-09-15,269.86,266.8661527793473
2006-09-18,271.02,267.01956434073946
2006-09-19,274.16,267.02751598952466
2006-09-20,274.81,267.0978329490546
2006-09-21,276.495,267.2204902260697
2006-09-22,277.175,267.2891845689819
2006-09-25,275.345,267.4994388065288
2006-09-26,272.315,267.5171763669693
2006-09-27,272.845,267.59146750802955
2006-09-28,272.745,267.7117545891544
2006-09-29,272.75,267.7713601428014
2006-10-02,274.945,267.9128517445394
2006-10-03,276.155,267.89431470017956
2006-10-04,274.985,267.9263204619644
2006-10-05,274.29,267.99894955588655
2006-10-06,271.74,268.006302568772
2006-10-09,271.76,267.97294244001256
2006-10-10,268.77,267.8936521469599
2006-10-11,266.07,267.865564274485
2006-10-12,264.96,267.8799074734838
2006-10-13,264.805,267.831900090605
2006-10-16,265.72,267.6601906907414
2006-10-17,266.505,267.5469236206205
2006-10-18,265.555,267.49205748071626
2006-10-19,263.015,267.4872730911011
2006-10-20,262.9,267.42807531520054
2006-10-23,263.925,267.27070362726687
2006-10-24,262.91,267.17742786621676
2006-10-25,261.86,267.14937630372896
2006-10-26,260.21,267.1775418109765
2006-10-27,260.87,267.1566182168414
2006-10-30,261.97,267.13649067667876
2006-10-31,260.64,267.0929529474879
2006-11-01,259.835,267.01761077253315
2006-11-02,259.69,266.99759650349876
2006-11-03,259.935,266.92657234074477
2006-11-06,259.385,266.7354072902789
2006-11-07,260.515,266.62537887065594
2006-11-08,261.23,266.57504430024886
2006-11-09,260.53,266.5739448316117
2006-11-10,260.38,266.51551326433975
2006-11-13,259.545,266.3241332533096
2006-11-14,258.3,266.2020642341167
2006-11-15,257.22,266.13437916415546
2006-11-16,257.125,266.11119333493696
2006-11-17,258.04,266.02660379419433
2006-11-20,257.155,265.73991222738493
2006-11-21,256.835,265.5831634159315
2006-11-22,258.385,265.48070845961195
2006-11-23,258.585,265.42344618989887
2006-11-24,259.425,265.30620709919776
2006-11-27,258.64,264.93637420624026
2006-11-28,258.295,264.75847644946055
2006-11-29,256.91,264.6387107336158
2006-11-30,256.645,264.568143029956
2006-12-01,255.73,264.4416584273123
2006-12-04,255.76,264.06738594226715
2006-12-05,255.22,263.8949355421458
2006-12-06,255.865,263.78345651096174
2006-12-07,255.95,263.723544830524
2006-12-08,256.175,263.60957302495746
2006-12-11,255.2,263.2785554046239
2006-12-12,253.7,263.12063431726386
